source_frame,source_time_s,angle_000_cost,angle_015_cost,angle_030_cost,angle_045_cost,angle_060_cost,angle_075_cost,angle_090_cost,angle_105_cost,angle_120_cost,angle_135_cost,angle_150_cost,angle_165_cost,angle_180_cost,angle_195_cost,angle_210_cost,angle_225_cost,angle_240_cost,angle_255_cost,angle_270_cost,angle_285_cost,angle_300_cost,angle_315_cost,angle_330_cost,angle_345_cost
78,2.600000,0.35967058,0.30159669,0.30283304,0.30745634,0.30183778,0.30231644,0.28088835,0.28217904,0.27584682,0.29043381,0.31897023,0.29305215,0.30170157,0.32326275,0.31501005,0.28339219,0.33768020,0.32653079,0.32512606,0.34057585,0.32712897,0.27743345,0.32213992,0.33561346
79,2.633333,0.35968200,0.30208593,0.30619932,0.31303906,0.30081985,0.29939205,0.27425588,0.28663321,0.27035273,0.29264023,0.31905761,0.29701087,0.29822143,0.32514257,0.30364858,0.28325147,0.32187872,0.33255085,0.32656910,0.33753070,0.33068636,0.27962165,0.32501502,0.33874392
80,2.666667,0.35964607,0.32843588,0.32513945,0.33111808,0.32799447,0.31473840,0.29589547,0.30765423,0.30359532,0.31413727,0.32310965,0.30466186,0.30466031,0.30388012,0.29778220,0.30493130,0.31593124,0.31254492,0.30757478,0.31750617,0.31983197,0.30101449,0.30706638,0.31984230
81,2.700000,0.34272854,0.32978007,0.33731166,0.33013188,0.32099247,0.31257876,0.29230102,0.31045172,0.31258575,0.31085022,0.33109130,0.31760952,0.31552591,0.30578961,0.30056182,0.31635773,0.31850708,0.29669847,0.29387723,0.30797122,0.29925073,0.29573921,0.30709318,0.30897620
82,2.733333,0.33975730,0.32490164,0.33730983,0.33097377,0.31979617,0.30899523,0.29343778,0.30799161,0.30859497,0.31185843,0.32860248,0.31212012,0.32045621,0.29927027,0.29510316,0.31478784,0.31586322,0.29807559,0.29083334,0.30255324,0.29217355,0.29532397,0.30138436,0.30185352
83,2.766667,0.34824851,0.33635673,0.34781548,0.34322679,0.33459555,0.32156452,0.28835702,0.30429820,0.31809404,0.31833835,0.33685433,0.31258457,0.32292334,0.30782812,0.28040066,0.32422695,0.30628703,0.28793137,0.28134956,0.29556475,0.29151071,0.30906427,0.30271063,0.30008651
84,2.800000,0.36345386,0.34266589,0.35196921,0.35453834,0.33809074,0.33458364,0.30758094,0.32871953,0.33020705,0.33245013,0.33797029,0.33319306,0.32094832,0.28927885,0.28247477,0.32655697,0.30060158,0.28425390,0.28804468,0.28478726,0.27277527,0.31997837,0.29233243,0.28345815
85,2.833333,0.35818819,0.35239981,0.35066946,0.35815900,0.34563095,0.33895219,0.31375229,0.33539576,0.32641173,0.33707215,0.32281086,0.32739195,0.29232090,0.25982185,0.26501064,0.32598133,0.28722714,0.27931237,0.27875814,0.28329864,0.27069093,0.32384796,0.27911191,0.27822024
86,2.866667,0.35443798,0.35600074,0.35309106,0.35910543,0.34917189,0.34092432,0.31339034,0.33475284,0.32545086,0.33364389,0.32758718,0.33180049,0.29679908,0.26788371,0.26905315,0.32737176,0.28780435,0.28468968,0.28356691,0.27760472,0.27465182,0.32819912,0.27460130,0.28180686
87,2.900000,0.35666254,0.34987725,0.34529333,0.35579576,0.34635263,0.33599715,0.31241841,0.33081185,0.32280965,0.33284960,0.32219743,0.32490306,0.29062048,0.26999334,0.26827091,0.32815644,0.28883698,0.27860558,0.27690739,0.27973960,0.26716935,0.32046425,0.27251337,0.27620990
88,2.933333,0.34441186,0.34578546,0.34432373,0.34898666,0.33414171,0.32997710,0.31520862,0.33203704,0.31640170,0.32455507,0.31603231,0.31721636,0.28335545,0.26318104,0.24254018,0.32325312,0.27197185,0.26948820,0.26778256,0.26717582,0.25760110,0.31361545,0.26503230,0.27276416
89,2.966667,0.34076220,0.33752231,0.34383152,0.34751668,0.33382278,0.33006168,0.31542161,0.33210696,0.31255937,0.32492203,0.31140917,0.31979072,0.28831487,0.26264750,0.24236142,0.32153924,0.26928385,0.27137120,0.26420874,0.26539141,0.25517368,0.31124460,0.26260784,0.26850930
90,3.000000,0.33918448,0.34159959,0.34009074,0.35114574,0.33304225,0.32859316,0.31312845,0.32546830,0.31712647,0.32801737,0.31040733,0.32041608,0.28644555,0.26485691,0.24536974,0.32166477,0.27137818,0.27335903,0.26932757,0.26874640,0.25796207,0.31664867,0.26745372,0.26666870
91,3.033333,0.32624813,0.32939337,0.33022925,0.33896153,0.31964423,0.31167971,0.31134411,0.32374414,0.31232951,0.31735598,0.29405932,0.33279366,0.29118069,0.27668842,0.25057328,0.30721479,0.27688686,0.28541822,0.27807156,0.28050599,0.27439162,0.30066433,0.26435026,0.27033493
92,3.066667,0.31365876,0.31829817,0.32899750,0.31019131,0.30193700,0.29692328,0.30581834,0.31341264,0.32263699,0.30970098,0.29732337,0.33842595,0.29770305,0.28186986,0.26569095,0.30793153,0.29847200,0.27751682,0.27234925,0.27588091,0.25969040,0.29109652,0.27018319,0.26764943
93,3.100000,0.30432699,0.32578511,0.33923404,0.31752493,0.30926609,0.29983324,0.31763326,0.31982074,0.32796446,0.31803438,0.30095852,0.34062012,0.29207777,0.27409239,0.26416412,0.31163939,0.29388370,0.26974305,0.27016131,0.27033297,0.25786795,0.29943041,0.26760824,0.25997251
94,3.133333,0.30038873,0.33057182,0.34247758,0.33132456,0.32055308,0.29973442,0.32992233,0.33655338,0.33850449,0.32511244,0.29838492,0.33847630,0.29007021,0.26312045,0.24523135,0.32030469,0.27897366,0.25560849,0.25203071,0.25497250,0.24613671,0.31238069,0.25053065,0.24554964
95,3.166667,0.31201445,0.33989205,0.34567392,0.34435287,0.33750767,0.31711387,0.32711017,0.33517739,0.33933144,0.33683327,0.30445376,0.33883086,0.29951255,0.26951364,0.24795337,0.33374850,0.27917682,0.25562261,0.25672648,0.25418314,0.24515101,0.31733118,0.25919683,0.25260510
96,3.200000,0.32454760,0.35483013,0.33824004,0.35323839,0.34257191,0.32625836,0.33259570,0.32891382,0.34418539,0.34767772,0.30832177,0.35403943,0.30551926,0.26708231,0.25195794,0.34282480,0.27647440,0.25422800,0.24365574,0.24337581,0.24070754,0.32658225,0.26357373,0.24583032
97,3.233333,0.32390944,0.34787892,0.34503973,0.34102389,0.33949769,0.32591207,0.33057425,0.33195212,0.34397132,0.34719561,0.30675894,0.35228043,0.30660993,0.25908632,0.24794456,0.33918063,0.28049421,0.25409294,0.24611176,0.24346944,0.24505120,0.33033336,0.26108982,0.24290696
98,3.266667,0.32425128,0.34656676,0.33930769,0.34803821,0.34016783,0.33175058,0.33095449,0.32801460,0.34614299,0.34595892,0.30461104,0.35156179,0.30751581,0.26420287,0.24502351,0.33912081,0.27770470,0.25507137,0.24061598,0.24641288,0.24732463,0.32953670,0.26368842,0.24399067
99,3.300000,0.32392469,0.34595223,0.34270097,0.34546476,0.33713485,0.33137446,0.34386840,0.34080105,0.34524990,0.33993438,0.31207753,0.35511964,0.29866051,0.25331104,0.24001534,0.33881388,0.26498489,0.24746372,0.23594633,0.22870729,0.23752158,0.33619690,0.25099855,0.23552817
100,3.333333,0.32057311,0.35519357,0.34916228,0.35559675,0.33928161,0.33488626,0.35558020,0.34665606,0.35010874,0.34271510,0.31226916,0.35640197,0.29541297,0.24704319,0.22925460,0.34440682,0.25740221,0.23179336,0.22388130,0.22918289,0.22393391,0.34830493,0.24830522,0.22391397
101,3.366667,0.31556054,0.34777870,0.34834247,0.35058389,0.34820856,0.33568606,0.34934277,0.34386159,0.34983273,0.34940613,0.30356799,0.35944733,0.28322333,0.24159663,0.23621019,0.34324099,0.25863599,0.24113020,0.22346128,0.22533615,0.22346092,0.34477944,0.24957200,0.23062476
102,3.400000,0.31501182,0.34945775,0.35356865,0.34904338,0.34784875,0.33569631,0.35036617,0.34759730,0.35264613,0.34626937,0.30068123,0.36079121,0.28391938,0.24288810,0.23737001,0.34504881,0.26044818,0.24654716,0.22703200,0.22878654,0.23327185,0.34689257,0.24966320,0.22986626
103,3.433333,0.31044118,0.35098032,0.35492213,0.35222222,0.34698800,0.33702915,0.35104078,0.35501426,0.36072309,0.34891338,0.30159172,0.37608014,0.29015444,0.24542702,0.23752282,0.36171334,0.26075059,0.24474849,0.22730100,0.22524872,0.22823306,0.34904223,0.23299431,0.22191094
104,3.466667,0.30941097,0.34927619,0.35532008,0.35008934,0.34681662,0.33483262,0.35186075,0.35097319,0.36013010,0.35091778,0.30706429,0.37092329,0.28495302,0.24396280,0.23510818,0.36228550,0.26690310,0.24675528,0.22480327,0.22548269,0.22959873,0.35085490,0.23286183,0.21992521
105,3.500000,0.30100964,0.34263324,0.34579750,0.33568250,0.33430387,0.32553384,0.35167773,0.35248455,0.36344463,0.34118726,0.29363922,0.37266352,0.28112909,0.25473670,0.24484791,0.35963694,0.27184740,0.25479552,0.23758591,0.23459808,0.24108602,0.35416602,0.23567767,0.22542417
106,3.533333,0.29931055,0.34024001,0.34670776,0.34667467,0.33626650,0.32910604,0.35244400,0.35702179,0.35423448,0.33665586,0.29644664,0.37065618,0.28126011,0.25578217,0.25359598,0.36336842,0.27823477,0.25808829,0.24500125,0.24093564,0.24669292,0.34944743,0.23775822,0.22889776
107,3.566667,0.30034373,0.34860763,0.34514048,0.34586886,0.34181696,0.33143696,0.35149318,0.35994879,0.36045789,0.34325526,0.29855527,0.37107763,0.28441720,0.25902568,0.25251346,0.36761598,0.27869143,0.26379477,0.24129952,0.24393990,0.24850853,0.35719684,0.24100598,0.22588390
108,3.600000,0.30757161,0.34982888,0.34970480,0.34502044,0.34361592,0.33377457,0.35408658,0.35953441,0.36271993,0.34715669,0.29960871,0.37260168,0.28399810,0.26129233,0.25444409,0.36870653,0.27799751,0.26341271,0.24480002,0.24202707,0.24884743,0.35601734,0.24554647,0.22995412
109,3.633333,0.29825988,0.34882164,0.34531231,0.35010568,0.33917381,0.33251468,0.35704200,0.36793802,0.36851797,0.34318064,0.29992787,0.37491590,0.28238422,0.26240460,0.25239477,0.36587055,0.27230482,0.27255268,0.24755903,0.25501517,0.25922859,0.35364642,0.24220235,0.21950742
110,3.666667,0.28711673,0.34923195,0.34425072,0.34987662,0.34530788,0.34461958,0.36595435,0.37879191,0.38041959,0.35496345,0.30704427,0.38549925,0.30212526,0.26855250,0.25986679,0.37449434,0.28493992,0.28043392,0.26442534,0.26855610,0.27181506,0.37028811,0.25365423,0.22935923
111,3.700000,0.26909935,0.34969914,0.35660824,0.34448057,0.33858533,0.35344924,0.36610150,0.37342961,0.38025914,0.36207489,0.31882189,0.39192070,0.30233476,0.27498768,0.26806318,0.38512736,0.29384751,0.27859083,0.28026219,0.27646056,0.26918269,0.37230088,0.24942883,0.23986763
112,3.733333,0.26981164,0.34760037,0.35398795,0.34491589,0.34238829,0.35371370,0.37562567,0.38551193,0.38917939,0.36920248,0.31766124,0.38521986,0.29720054,0.26391883,0.25997861,0.38543216,0.28578681,0.27175191,0.26276574,0.26373209,0.26233309,0.37504035,0.23879036,0.22090827
113,3.766667,0.28119457,0.34676179,0.35520393,0.34737335,0.34590610,0.35585828,0.36698621,0.37760384,0.38556515,0.36590448,0.33551509,0.38034611,0.30081446,0.27731521,0.27772101,0.38046199,0.29798765,0.28529310,0.27375447,0.27289671,0.26981771,0.37982452,0.25203602,0.23787422
114,3.800000,0.28343208,0.35797180,0.36794046,0.35417417,0.35688756,0.36007609,0.37973397,0.38427207,0.38554583,0.37350359,0.33756065,0.39539114,0.30373817,0.26758657,0.27538434,0.38496119,0.28702194,0.27220605,0.26376028,0.26523324,0.26162878,0.39278470,0.25305986,0.23565634
115,3.833333,0.28160676,0.36269521,0.36274993,0.36020880,0.35517990,0.36876105,0.37713145,0.38171391,0.38953865,0.37451453,0.32354139,0.38977261,0.30198931,0.26823166,0.26908146,0.38658737,0.28774159,0.26622649,0.26586476,0.26636083,0.25977689,0.39069239,0.25063160,0.23894756
116,3.866667,0.26682956,0.34688829,0.35311097,0.34347405,0.34271609,0.35372828,0.38096456,0.39150315,0.38777742,0.36151774,0.31586980,0.38167104,0.29623155,0.26624998,0.26438221,0.38375784,0.28953760,0.26831904,0.26623202,0.26887310,0.25735515,0.37899351,0.24022481,0.22631139
117,3.900000,0.28350792,0.34764629,0.35186853,0.34249556,0.34199433,0.34874180,0.36855139,0.38084620,0.38545741,0.36078391,0.32820330,0.37957938,0.30454886,0.27646333,0.26797454,0.38431478,0.29851538,0.27933852,0.27486295,0.27449953,0.26486520,0.37457767,0.25004750,0.23135206
118,3.933333,0.27965751,0.34482774,0.35105944,0.34565412,0.33927811,0.35360357,0.36748626,0.37761783,0.38689454,0.36525769,0.32505319,0.37675112,0.30791666,0.27491235,0.26702042,0.38041097,0.29300524,0.27405597,0.27100432,0.27269340,0.26381551,0.37028004,0.25117715,0.22890714
119,3.966667,0.27108992,0.34220844,0.35353706,0.33822687,0.33792671,0.35174867,0.37456410,0.38645986,0.38595331,0.35641018,0.31349173,0.37836442,0.29154485,0.25779032,0.25646201,0.38728911,0.27880948,0.26322767,0.25747004,0.25878354,0.24938487,0.36545270,0.23728894,0.21800456
120,4.000000,0.27013694,0.33275361,0.34482105,0.33267837,0.33815876,0.35154143,0.36468050,0.38798918,0.38170972,0.35596293,0.31555770,0.37917935,0.30582210,0.26882920,0.26884102,0.37865409,0.28633286,0.27138834,0.26828222,0.27379269,0.26391417,0.36748247,0.24768395,0.23393153
121,4.033333,0.26216397,0.34197988,0.34460900,0.33706121,0.33950498,0.34804055,0.36761364,0.38871076,0.38218035,0.36370610,0.31936923,0.38036901,0.28807621,0.25992314,0.24402655,0.38138444,0.26927827,0.25347645,0.25346294,0.25516980,0.25692800,0.37399833,0.22362074,0.22487871
122,4.066667,0.26112024,0.34217429,0.35358043,0.34126283,0.33834220,0.34728965,0.36596760,0.38131224,0.38376789,0.36334776,0.31443412,0.37965770,0.29642933,0.26337998,0.24427436,0.38105388,0.27495120,0.25130531,0.25212599,0.26026802,0.25805646,0.37111531,0.22778970,0.22441422
123,4.100000,0.26063607,0.34492411,0.35539980,0.34052425,0.33565451,0.34861247,0.36335657,0.38589228,0.38207583,0.36487850,0.31418088,0.38131102,0.29005150,0.26001359,0.24028927,0.37988363,0.26849520,0.25884391,0.25268026,0.26626239,0.26307345,0.36619948,0.22972689,0.22432626
124,4.133333,0.26367011,0.34628093,0.35453181,0.33911907,0.33125274,0.35218308,0.37306281,0.38605791,0.38294169,0.36057649,0.32214902,0.38415037,0.29352425,0.26475201,0.24620343,0.37708649,0.27699527,0.25432915,0.25285258,0.26442619,0.26077005,0.36456606,0.22808118,0.21871839
125,4.166667,0.24875606,0.32855412,0.34006201,0.32748737,0.31754137,0.34048052,0.35688204,0.37914378,0.37307241,0.34465297,0.30270150,0.36674207,0.27898033,0.26073597,0.24996921,0.36482922,0.27939477,0.26492987,0.25804762,0.27022689,0.26686749,0.35421884,0.23829023,0.22979548
126,4.200000,0.25754558,0.33346013,0.33768538,0.32798923,0.32355288,0.33621118,0.35581499,0.38023949,0.36922657,0.35147033,0.29888447,0.36642832,0.28193916,0.25835754,0.25223004,0.36632351,0.28117099,0.26363305,0.25964694,0.26900125,0.26568351,0.35797536,0.23627967,0.22998091
127,4.233333,0.24182280,0.31671234,0.33138055,0.31779666,0.32128076,0.33186917,0.35485419,0.37474625,0.36388222,0.34854212,0.28836101,0.36132822,0.27372259,0.26479183,0.25090951,0.35671954,0.27996158,0.26381971,0.25935749,0.27128427,0.26909563,0.35433744,0.23933777,0.23692981
128,4.266667,0.25558886,0.33224406,0.34184646,0.33217723,0.31898314,0.34150707,0.35724968,0.37787790,0.37399146,0.34743062,0.30466405,0.37093119,0.28520186,0.27294728,0.25323953,0.36699334,0.28583924,0.26314091,0.25939717,0.27015892,0.26013428,0.34878735,0.23125413,0.23762850
129,4.300000,0.25464818,0.32800357,0.32751956,0.32243019,0.31574327,0.33775231,0.35669477,0.37849064,0.37630095,0.34553062,0.29806619,0.36709438,0.28223189,0.27180463,0.25422919,0.36335764,0.27428352,0.25457615,0.25454791,0.26930724,0.26328207,0.35094217,0.23101608,0.23358343
130,4.333333,0.23224638,0.31243406,0.31867815,0.31009695,0.31166282,0.32400448,0.34818833,0.36637976,0.35636538,0.34234486,0.28731590,0.35641264,0.26909594,0.27229739,0.23927512,0.35813373,0.27166996,0.25990468,0.25618279,0.26585672,0.26383714,0.35232039,0.23236060,0.23363852
131,4.366667,0.22822617,0.31808195,0.32463849,0.30780597,0.31677579,0.32758429,0.34787831,0.36474925,0.36342031,0.34527262,0.29019857,0.35760565,0.27068233,0.27546088,0.24043068,0.36232791,0.27471172,0.26106406,0.25965956,0.26990526,0.26496777,0.35196160,0.23578472,0.23579796
132,4.400000,0.23504983,0.31715440,0.32200248,0.30781758,0.31383709,0.33143757,0.34713855,0.37199227,0.35759716,0.33622613,0.29123245,0.35896419,0.27332977,0.27798859,0.24114735,0.35708831,0.27015802,0.26138996,0.26277727,0.26953246,0.26736852,0.34682854,0.23096108,0.23389598
133,4.433333,0.22760787,0.29920156,0.30337644,0.28630881,0.29832354,0.30609248,0.33548643,0.35570612,0.34133054,0.32034715,0.27474009,0.33950130,0.25415474,0.27338668,0.23345473,0.34066876,0.26582555,0.26312814,0.26231825,0.27036103,0.27428795,0.33448408,0.23797642,0.24794406
134,4.466667,0.22657783,0.30757068,0.31764252,0.29793671,0.31238616,0.31975405,0.34147555,0.35636779,0.35386339,0.33584031,0.28610609,0.35158173,0.26039810,0.28396172,0.23199072,0.35570533,0.25944071,0.26434182,0.26434657,0.26752151,0.26683147,0.34104632,0.23203127,0.23623287
135,4.500000,0.22765361,0.30049040,0.29940542,0.28877422,0.29018669,0.31198631,0.33780484,0.35482256,0.34060059,0.31972105,0.29179726,0.34728216,0.27031993,0.29219011,0.24174964,0.33922940,0.27335959,0.27542743,0.27481593,0.28276681,0.27745375,0.32572157,0.24431885,0.25655405
136,4.533333,0.21675003,0.30713779,0.31612886,0.30364619,0.30664843,0.32191638,0.34044425,0.35906512,0.35509124,0.33820116,0.28511927,0.34848313,0.25741893,0.29036283,0.24248102,0.34918463,0.26691078,0.27995770,0.27592266,0.28395635,0.27800653,0.33673138,0.24917518,0.23732126
137,4.566667,0.21456770,0.31185764,0.31675762,0.30179614,0.31088463,0.32075004,0.33731357,0.36064003,0.34969274,0.33948744,0.28578428,0.34886262,0.25502054,0.28991224,0.24174281,0.35128192,0.27578763,0.28281033,0.27643816,0.28213344,0.28258270,0.34234061,0.24514844,0.24430438
138,4.600000,0.22413942,0.29576728,0.30474818,0.30032475,0.30794728,0.31169087,0.34651448,0.34895832,0.34826164,0.32914713,0.28629478,0.34966360,0.26881907,0.30298715,0.25863771,0.34405528,0.28830533,0.28748207,0.28896624,0.30180528,0.28973693,0.33216572,0.25429806,0.26301204
139,4.633333,0.21762622,0.29840469,0.30845593,0.30023329,0.30269952,0.30228063,0.34724774,0.35424109,0.34235310,0.33361399,0.28777798,0.34692818,0.27389188,0.30636290,0.25943348,0.34950112,0.28599312,0.28709307,0.28751344,0.29818687,0.29260006,0.33979133,0.25724206,0.26722411
140,4.666667,0.22001145,0.29735331,0.30676366,0.29925929,0.30099253,0.30316505,0.34975098,0.34887136,0.34477163,0.32929178,0.28562076,0.35064990,0.27285845,0.30304511,0.25510775,0.34247346,0.28906441,0.28426545,0.28541148,0.29736631,0.29477823,0.33248046,0.25745365,0.26744154
141,4.700000,0.21914222,0.29132418,0.30747712,0.30204817,0.29613535,0.30756572,0.34785716,0.35345223,0.34418820,0.33271391,0.29148659,0.35059050,0.27041102,0.30420259,0.25894519,0.34431301,0.28890009,0.29119316,0.28628536,0.30286260,0.29256593,0.33810057,0.26389664,0.26494375
142,4.733333,0.21066397,0.30037196,0.29625559,0.30015721,0.30209643,0.30287223,0.35170201,0.35614890,0.34295517,0.33322396,0.28728370,0.34958913,0.27384459,0.28893516,0.25379729,0.33924668,0.29077604,0.30071695,0.28623831,0.29774264,0.31093125,0.33607699,0.27211614,0.26205934
143,4.766667,0.21017546,0.28884698,0.28406990,0.28778894,0.29103196,0.29446892,0.33583810,0.33878961,0.33467551,0.32108715,0.27941770,0.33399204,0.26246913,0.30404663,0.26811450,0.33148715,0.29968369,0.31739951,0.30248392,0.31052266,0.31930980,0.32359972,0.28475669,0.27797575
144,4.800000,0.20915863,0.28079877,0.28907040,0.27346492,0.28271849,0.29052108,0.32035363,0.33041115,0.32436560,0.30724646,0.27174459,0.33105527,0.24707034,0.31909644,0.27362867,0.32698481,0.30366073,0.30350250,0.30516880,0.31978237,0.31118850,0.32342853,0.27954598,0.27826384
145,4.833333,0.21092288,0.27014889,0.27557794,0.27122677,0.27125300,0.26967102,0.30620784,0.31328260,0.31855311,0.28970618,0.26042797,0.31608854,0.24747127,0.32482656,0.29206414,0.31086207,0.32282527,0.32602947,0.32696972,0.33411079,0.32782028,0.30759175,0.29006847,0.29546794
146,4.866667,0.18915213,0.26357706,0.27834309,0.25433023,0.27441365,0.27246658,0.30290843,0.31663613,0.31471599,0.28453150,0.27494654,0.31593306,0.27398243,0.34966790,0.30549033,0.30803244,0.33518059,0.33422665,0.33048570,0.33207756,0.34235414,0.29721743,0.30276093,0.29187804
147,4.900000,0.20301302,0.24746641,0.25776085,0.25072072,0.25171430,0.25917155,0.26808383,0.28915984,0.29405527,0.28023708,0.26709276,0.29503883,0.27465131,0.36251001,0.33159132,0.29421138,0.35844792,0.35933889,0.36213302,0.36871493,0.36311794,0.29453182,0.32519496,0.32190306
148,4.933333,0.21083045,0.24758611,0.25440751,0.25178084,0.25494394,0.25551553,0.26334419,0.27554100,0.28638863,0.28003118,0.28132241,0.29572249,0.28198030,0.37142481,0.33679675,0.29176705,0.37044913,0.37385783,0.36726412,0.36935913,0.36945409,0.27891991,0.33981649,0.33586471
149,4.966667,0.21191815,0.23895262,0.25603293,0.24248152,0.25708276,0.26007739,0.25971422,0.27883126,0.28733209,0.27076666,0.29179963,0.29958952,0.29291361,0.38390878,0.34934640,0.29226521,0.37560861,0.38237647,0.38568152,0.37840098,0.38690525,0.27223121,0.35251139,0.34634291
150,5.000000,0.22138511,0.22086479,0.23225846,0.22221655,0.21750524,0.23106909,0.25023940,0.27538077,0.26811697,0.25197835,0.25845565,0.28358185,0.27471026,0.35933971,0.33527088,0.26287419,0.36188505,0.35924855,0.35813189,0.36576337,0.36829808,0.26130601,0.32601522,0.33320594
