source_frame,source_time_s,angle_000_cost,angle_015_cost,angle_030_cost,angle_045_cost,angle_060_cost,angle_075_cost,angle_090_cost,angle_105_cost,angle_120_cost,angle_135_cost,angle_150_cost,angle_165_cost,angle_180_cost,angle_195_cost,angle_210_cost,angle_225_cost,angle_240_cost,angle_255_cost,angle_270_cost,angle_285_cost,angle_300_cost,angle_315_cost,angle_330_cost,angle_345_cost
19,0.633333,0.25267409,0.22277667,0.24827822,0.22077257,0.23046938,0.25495161,0.26174017,0.26695781,0.28106054,0.23899214,0.30393216,0.31446142,0.33357394,0.38765771,0.38968922,0.28732746,0.41120162,0.40980145,0.41063779,0.39166196,0.40015687,0.25065246,0.38641433,0.36257030
20,0.666667,0.24983916,0.21560906,0.25541123,0.21825588,0.22560958,0.26006009,0.25790641,0.27035187,0.27732758,0.23661811,0.30407032,0.31446789,0.32895617,0.38853674,0.38903687,0.28301586,0.40428740,0.41180561,0.41277919,0.39316524,0.40050124,0.24679678,0.37827699,0.35747066
21,0.700000,0.24802525,0.21997198,0.24999184,0.22322156,0.22558194,0.25711536,0.26371673,0.27220766,0.27410999,0.23541958,0.30425733,0.31192058,0.33212987,0.38556388,0.39320165,0.27895643,0.40964500,0.40694786,0.41170552,0.39843358,0.39644383,0.24756015,0.37983528,0.36263296
22,0.733333,0.24283758,0.22424186,0.24899095,0.21989770,0.23158234,0.25499593,0.25554892,0.26853103,0.27897583,0.24322334,0.30742009,0.30708453,0.33460597,0.39359207,0.38939736,0.28484575,0.41092360,0.41074623,0.40918076,0.39465758,0.39871897,0.24572610,0.38465560,0.36046202
23,0.766667,0.25302163,0.21616978,0.25009460,0.22087203,0.22116472,0.25533569,0.26045246,0.25998612,0.27871585,0.23551383,0.30274069,0.30798097,0.33044048,0.38644042,0.38839234,0.27481940,0.40625465,0.40450648,0.40209431,0.39330603,0.39370522,0.24575919,0.38026788,0.35131893
24,0.800000,0.25562235,0.21743653,0.24968370,0.21474797,0.22373711,0.25299748,0.25601546,0.26513879,0.27317402,0.23437248,0.29693957,0.30415608,0.32439996,0.37990667,0.37973877,0.27508020,0.40605326,0.40348518,0.40106121,0.38589015,0.38617692,0.24354858,0.37854571,0.34585304
25,0.833333,0.25732931,0.22258349,0.24987629,0.21737581,0.21753294,0.25324369,0.25649331,0.26676511,0.27732027,0.23642010,0.30116335,0.30988155,0.32561731,0.38629154,0.37516640,0.27129983,0.40344203,0.40619189,0.39996487,0.38582732,0.38647088,0.24170990,0.38246215,0.35814470
26,0.866667,0.25915791,0.22128195,0.24553639,0.21646908,0.21516457,0.25019678,0.25861557,0.26444176,0.27229378,0.24482398,0.30528302,0.31363659,0.32454767,0.39037988,0.38269669,0.27587266,0.40454558,0.40529586,0.40076621,0.38937126,0.38819882,0.23765554,0.37755388,0.35629385
27,0.900000,0.25881438,0.22412535,0.24778400,0.22080698,0.22033500,0.25280952,0.25965984,0.26744387,0.27796879,0.24150780,0.30473249,0.31113264,0.32460019,0.38916842,0.38299584,0.27289742,0.40406726,0.40321240,0.40459414,0.39310281,0.39181989,0.24364145,0.37934977,0.35689310
28,0.933333,0.27315821,0.23779455,0.24937689,0.23305280,0.21697106,0.25301157,0.25972732,0.26151436,0.27823978,0.25610607,0.30055538,0.31276341,0.32846559,0.37970268,0.36837501,0.27546229,0.39596651,0.39895196,0.39914430,0.39999937,0.38827599,0.24936102,0.36866347,0.35526141
29,0.966667,0.27391958,0.23164352,0.25332073,0.22486139,0.22659191,0.26718976,0.27225065,0.27509849,0.28772022,0.23784513,0.31252499,0.31402480,0.34203457,0.38667544,0.37991924,0.26652456,0.40317506,0.40686033,0.40954651,0.39061616,0.38945695,0.23512118,0.38116764,0.34923348
